[85/100] - time: 806.26, Disc loss: 0.442, Gen loss: 2.591, Con loss: 8.151, Noise loss: 0.717
[86/100] - time: 806.07, Disc loss: 0.440, Gen loss: 2.639, Con loss: 8.150, Noise loss: 0.713
[87/100] - time: 807.38, Disc loss: 0.440, Gen loss: 2.615, Con loss: 8.144, Noise loss: 0.718
[88/100] - time: 806.36, Disc loss: 0.443, Gen loss: 2.624, Con loss: 8.170, Noise loss: 0.708
[89/100] - time: 806.39, Disc loss: 0.440, Gen loss: 2.619, Con loss: 8.131, Noise loss: 0.735
[90/100] - time: 806.05, Disc loss: 0.447, Gen loss: 2.608, Con loss: 8.157, Noise loss: 0.736
[91/100] - time: 806.71, Disc loss: 0.445, Gen loss: 2.620, Con loss: 8.172, Noise loss: 0.727
[92/100] - time: 806.11, Disc loss: 0.445, Gen loss: 2.615, Con loss: 8.165, Noise loss: 0.739
[93/100] - time: 810.08, Disc loss: 0.445, Gen loss: 2.609, Con loss: 8.189, Noise loss: 0.731
[94/100] - time: 810.56, Disc loss: 0.447, Gen loss: 2.598, Con loss: 8.172, Noise loss: 0.688
[95/100] - time: 810.51, Disc loss: 0.449, Gen loss: 2.604, Con loss: 8.171, Noise loss: 0.735
[96/100] - time: 810.32, Disc loss: 0.445, Gen loss: 2.596, Con loss: 8.188, Noise loss: 0.728
[97/100] - time: 810.76, Disc loss: 0.448, Gen loss: 2.578, Con loss: 8.164, Noise loss: 0.722
[98/100] - time: 810.75, Disc loss: 0.450, Gen loss: 2.587, Con loss: 8.171, Noise loss: 0.738
[99/100] - time: 810.40, Disc loss: 0.454, Gen loss: 2.581, Con loss: 8.154, Noise loss: 0.688
[100/100] - time: 810.71, Disc loss: 0.451, Gen loss: 2.599, Con loss: 8.173, Noise loss: 0.747
Avg one epoch time: 805.86, total 100 epochs time: 80782.85
Training finish!... save training results
